id,email,first_name,last_name,source,campaign_id,created_at,converted,converted_at
36,vidaldario@example.org,Yésica,Bouvet,organic,CAMP_7401,2025-08-14 01:09:53,False,
37,boutinandre@example.net,Martine,Ayala,organic,CAMP_7902,2025-05-24 12:37:04,True,2025-09-25 18:34:55
38,paulmerle@example.com,Zoé,Montalbán,organic,CAMP_3455,2025-07-14 23:46:46,False,
39,baileyashley@example.net,Jacques,Fischer,email_campaign,CAMP_3224,2025-04-20 18:09:17,True,2025-05-24 09:38:06
40,suzanneledoux@example.net,Ulrike,Hampton,email_campaign,CAMP_6821,2025-06-20 05:22:42,True,2025-11-21 18:22:12
41,patricioalarcon@example.net,Fabio,Knight,organic,CAMP_6530,2025-02-19 23:56:33,True,2025-08-16 11:11:19
42,poliver@example.com,Lori,Nieto,referral,CAMP_3652,2025-04-19 22:06:22,False,
43,sdufour@example.org,Natalie,Denis,referral,CAMP_6872,2025-10-10 22:37:21,True,2025-11-27 00:53:45
44,scottross@example.net,Bernadette,Haase,paid_ads,CAMP_3868,2025-06-02 00:07:43,False,
45,nacio32@example.com,Logan,Merle,email_campaign,CAMP_5475,2025-11-08 18:13:46,False,
46,caseyjames@example.org,Édouard,Sparks,paid_ads,CAMP_1812,2025-02-12 08:55:31,False,
47,ithomas@example.net,Evangelina,Lucena,email_campaign,CAMP_6102,2025-08-25 12:39:05,False,
48,jacksonjennifer@example.net,François,Lacombe,organic,CAMP_7330,2025-01-10 11:56:55,False,
49,agnesmorvan@example.org,Nicolas,Beltrán,email_campaign,CAMP_5465,2025-10-18 10:13:43,True,2025-11-11 20:09:13
50,amaliapatberg@example.com,Damaris,Alvarado,organic,CAMP_8996,2025-09-28 13:28:15,True,2025-11-08 19:52:22
51,ivall@example.org,Hildburg,Robertson,paid_ads,CAMP_5310,2025-09-23 08:54:21,False,
52,jeanchantal@example.net,Emiliano,Cepeda,email_campaign,CAMP_8384,2025-07-12 23:46:05,False,
53,zoe07@example.net,Edgardo,Heinrich,email_campaign,CAMP_1939,2025-01-02 01:31:55,True,2025-03-27 03:17:02
54,glopez@example.com,Paolo,Michaud,email_campaign,CAMP_2462,2025-09-20 20:42:03,False,
55,rebeccasmith@example.org,Émile,Söding,referral,CAMP_6468,2025-01-20 05:21:23,True,2025-09-12 15:40:42
56,tomasagaya@example.org,Erdal,Sanchez,organic,CAMP_5971,2025-04-21 06:40:10,True,2025-07-21 15:46:07
57,jguillou@example.org,Mechthild,Mayo,email_campaign,CAMP_3180,2025-05-12 02:28:25,False,
58,deborahnguyen@example.org,Aitor,Lefèvre,paid_ads,CAMP_8623,2025-02-28 05:29:01,False,
59,maria-cristina30@example.net,Ainara,Wagner,paid_ads,CAMP_3147,2025-06-05 18:37:11,False,
60,wenkeadler@example.com,Mauricio,Hernandez,paid_ads,CAMP_4313,2025-10-14 23:30:32,False,
61,pcook@example.net,Catherine,Pagès,referral,CAMP_8626,2025-08-11 19:52:17,False,
62,amayabenigno@example.net,Otto,Knappe,referral,CAMP_4379,2025-04-23 02:28:24,True,2025-08-02 21:44:55
63,bacosta@example.net,Cheryl,Thomas,email_campaign,CAMP_5527,2025-08-12 02:02:12,False,
64,merleelodie@example.net,Iker,Marchand,organic,CAMP_6227,2024-12-27 19:37:32,False,
65,rfechner@example.com,Charles,Briand,paid_ads,CAMP_8006,2025-06-21 04:33:03,True,2025-11-09 15:02:59
66,sarah81@example.org,Penny,Wilms,paid_ads,CAMP_1598,2025-08-27 00:43:52,False,
67,remychauvet@example.com,Magarete,Pozuelo,paid_ads,CAMP_2191,2024-12-23 13:56:10,False,
68,agatabecker@example.org,Thomas,Cantu,paid_ads,CAMP_6681,2024-12-20 06:45:40,True,2025-09-18 12:27:06
69,alemanymoreno@example.com,Inge,Evrard,organic,CAMP_7846,2025-02-11 13:30:11,False,
70,gerardmahe@example.org,Régulo,Bolaños,referral,CAMP_6460,2025-09-24 22:28:35,False,
71,icalvet@example.net,Vito,Morris,paid_ads,CAMP_1996,2025-02-28 22:13:02,True,2025-06-22 21:40:14
72,evanslisa@example.org,Manon,Thibault,email_campaign,CAMP_8937,2025-07-18 22:32:00,False,
73,ferdikarz@example.org,Carmen,Henry,organic,CAMP_2650,2025-11-24 05:36:13,True,2025-11-28 03:47:34
74,auguste62@example.net,Scott,Arellano,organic,CAMP_8258,2025-02-13 07:53:56,True,2025-04-25 05:35:49
75,guibertarthur@example.net,Lindsay,Moraleda,email_campaign,CAMP_4628,2025-07-07 02:15:14,False,
76,veraazeneth@example.net,Hortense,Asensio,paid_ads,CAMP_4679,2025-07-28 22:09:59,False,
77,ddussen-van@example.net,Tristan,Baldwin,organic,CAMP_4362,2025-01-17 11:57:26,False,
78,cirino54@example.com,Joseph,Adams,paid_ads,CAMP_7338,2025-08-06 14:44:12,True,2025-08-11 02:01:31
79,josephbaudry@example.org,Randall,Green,referral,CAMP_5120,2025-04-02 10:57:35,False,
80,ryan75@example.com,Falk,Tanguy,email_campaign,CAMP_4678,2025-09-21 16:15:11,False,
81,blotluc@example.net,Troy,Valenzuela,referral,CAMP_1108,2025-05-03 02:17:33,True,2025-06-09 01:43:33
82,augustegrenier@example.net,Santiago,Fouquet,email_campaign,CAMP_7218,2025-10-24 12:04:54,False,
83,zavalaangela@example.net,Iván,Cuevas,paid_ads,CAMP_7745,2025-11-08 22:02:23,False,
84,eusebiafalco@example.com,Matthew,Barroso,referral,CAMP_3401,2025-01-28 07:00:14,False,
85,sschaefer@example.com,Xavier,Hermighausen,paid_ads,CAMP_1290,2025-08-04 09:33:14,False,
86,kathleen62@example.net,Purificación,Girard,referral,CAMP_4718,2025-08-12 04:19:11,False,
87,rmans@example.org,Richard,Rodgers,paid_ads,CAMP_2716,2025-10-30 07:10:34,True,2025-11-18 02:11:40
88,olivierrenaud@example.net,Mustafa,Bárcena,paid_ads,CAMP_4847,2025-11-19 13:23:16,True,2025-11-21 11:18:14
89,klegendre@example.org,Terry,Geißler,paid_ads,CAMP_7824,2025-08-21 02:31:16,False,
90,pauljacques@example.com,Alla,Scholz,organic,CAMP_2169,2025-11-07 17:58:34,False,
91,eugeneetienne@example.com,Bertrand,Ramos,paid_ads,CAMP_6627,2025-11-21 02:58:58,False,
92,aaron91@example.org,Michelle,Phillips,referral,CAMP_1502,2025-04-28 09:33:55,False,
93,guzmanmodesta@example.com,Tamara,Börner,paid_ads,CAMP_7534,2025-06-19 22:08:49,False,
94,vyang@example.com,Hartwig,Gonzalez,referral,CAMP_4774,2025-01-21 13:23:02,False,
95,carreteroedgardo@example.net,Isaac,Junk,organic,CAMP_3346,2025-01-11 08:05:37,False,
96,corraladoracion@example.net,Josefina,Menéndez,paid_ads,CAMP_4063,2025-05-07 14:44:23,True,2025-08-18 08:47:17
97,eatondenise@example.net,Vilma,Léger,referral,CAMP_5852,2025-03-28 06:56:25,False,
98,sreilly@example.net,Aurelio,Chapman,referral,CAMP_6814,2025-08-28 02:48:24,False,
99,berrysamantha@example.net,Stephanie,Arévalo,referral,CAMP_4887,2025-04-20 12:14:39,True,2025-06-12 16:01:07
100,cmaillot@example.net,Jose,Joly,email_campaign,CAMP_5864,2024-12-10 23:30:16,False,
101,adrien85@example.org,Modesto,Löwer,organic,CAMP_8708,2025-10-24 02:08:13,False,
102,nath57@example.net,Jérôme,Lejeune,referral,CAMP_7931,2025-08-23 23:45:36,False,
103,zoneal@example.com,Maxi,Hoffman,organic,CAMP_6574,2025-11-02 18:19:12,True,2025-11-07 22:28:32
104,randallmitchell@example.net,Carmen,Underwood,paid_ads,CAMP_4279,2025-04-17 17:38:29,True,2025-07-27 19:21:38
105,oyuste@example.org,Antoinette,Gay,paid_ads,CAMP_7402,2025-03-01 12:21:44,True,2025-06-15 20:34:48
106,ueimer@example.net,Pamela,Sorgatz,email_campaign,CAMP_9958,2025-04-23 19:50:42,False,
107,bledesma@example.org,Hannelore,Andre,organic,CAMP_8633,2025-08-10 05:42:52,False,
108,manonmillet@example.net,Grégoire,Cerdán,organic,CAMP_3676,2025-06-27 23:33:17,True,2025-07-26 00:07:54
109,wesacksilvia@example.org,Élodie,Devaux,referral,CAMP_6621,2025-10-01 00:09:21,False,
110,hsedano@example.com,Elizabeth,Imbert,referral,CAMP_9054,2025-11-17 00:15:48,True,2025-11-20 12:46:55
111,lorenzheinz@example.com,Noemí,Dunn,email_campaign,CAMP_2938,2025-04-17 20:25:15,True,2025-11-17 03:22:42
112,flehmann@example.com,Jason,Cochran,email_campaign,CAMP_3634,2025-08-15 01:45:57,False,
113,galanhugo@example.com,Jonathan,Toledo,paid_ads,CAMP_5820,2025-09-02 21:13:19,True,2025-10-01 23:52:23
114,lisastein@example.org,Thibault,Montalbán,organic,CAMP_6723,2025-09-25 08:47:09,False,
115,kimberlyharris@example.com,Olivie,Pareja,referral,CAMP_5088,2025-06-09 19:21:57,False,
116,sotelomilagros@example.com,Alain,Aubert,email_campaign,CAMP_1735,2025-08-13 11:39:30,True,2025-10-08 05:44:27
117,dominikbarth@example.net,Jean,Ruiz,email_campaign,CAMP_2391,2024-12-27 02:41:09,True,2025-05-10 00:45:51
118,lamores@example.org,William,Dean,organic,CAMP_7726,2025-06-26 07:31:26,False,
119,laurentpaul@example.com,Aleksander,Boutin,email_campaign,CAMP_1269,2025-09-17 02:44:23,False,
120,gunhild84@example.net,Patrick,Klingelhöfer,email_campaign,CAMP_3441,2025-07-27 13:57:07,False,
121,yrubio@example.com,Chantal,Spears,paid_ads,CAMP_4186,2025-08-12 17:04:19,False,
122,ddomenech@example.org,Adolf,Bernard,referral,CAMP_9862,2025-03-02 23:50:23,True,2025-06-10 11:27:30
123,spencerkathleen@example.org,Greta,Williams,paid_ads,CAMP_7995,2025-01-09 02:17:59,False,
124,hparrish@example.net,Juan Pablo,Calvo,referral,CAMP_3018,2025-11-11 06:19:22,False,
125,arthurfaure@example.org,Aroa,Salazar,organic,CAMP_1849,2025-02-24 12:42:04,False,
126,jameslisa@example.org,Cornelius,Süßebier,paid_ads,CAMP_8023,2025-08-07 17:19:57,True,2025-08-26 14:22:59
127,cuetoambar@example.com,Gunter,Español,organic,CAMP_2300,2024-11-30 13:17:38,False,
128,elenaferrandez@example.org,Katherine,Phillips,organic,CAMP_5115,2025-10-06 12:02:26,True,2025-10-15 20:25:37
129,mahemarianne@example.org,Ruperta,Batalla,email_campaign,CAMP_3005,2025-06-05 01:48:34,False,
130,rlecomte@example.com,Craig,Chartier,referral,CAMP_8167,2025-05-07 02:10:07,False,
131,ukruschwitz@example.org,Marina,Gutknecht,organic,CAMP_8713,2025-01-04 04:37:27,False,
132,thorstengirschner@example.com,Thomas,Koch II,paid_ads,CAMP_1331,2025-02-17 15:27:16,False,
133,sbeltran@example.org,Audrey,Núñez,email_campaign,CAMP_8956,2025-11-04 19:58:39,True,2025-11-22 08:51:06
134,ernestlinke@example.org,Mary,Klemt,referral,CAMP_3382,2025-10-13 14:38:36,False,
135,joe79@example.com,Ernest,Madrigal,organic,CAMP_8903,2025-03-14 06:08:52,False,
136,gmorata@example.org,Amalie,Castillo,email_campaign,CAMP_8748,2025-11-16 09:31:41,False,
137,moorekevin@example.org,Julie,Ribeiro,paid_ads,CAMP_3358,2025-07-20 18:12:18,True,2025-08-13 10:18:36
138,benjamingonzalez@example.com,Lucas,Dupuis,organic,CAMP_8961,2024-12-18 09:54:16,True,2025-05-09 15:58:00
139,sophieboulay@example.org,Linus,Zaragoza,organic,CAMP_4165,2025-01-17 00:23:59,True,2025-06-21 23:54:46
140,cfarmer@example.net,Darin,Calvo,email_campaign,CAMP_2909,2025-11-14 01:14:06,False,
141,bowmangary@example.net,Corinne,Wagner,referral,CAMP_2717,2025-02-23 02:03:39,False,
142,melaniacabo@example.net,Lorena,Calvet,organic,CAMP_5786,2025-04-16 14:21:28,True,2025-09-03 07:30:37
143,ana-belengutierrez@example.org,Matthew,Segarra,email_campaign,CAMP_4610,2025-04-26 11:41:50,True,2025-09-24 13:26:03
144,jovegeraldo@example.net,Frank,Julien,organic,CAMP_6535,2025-03-21 07:30:27,False,
145,sweller@example.net,Elodia,Arjona,email_campaign,CAMP_4829,2024-12-18 21:59:56,False,
146,tomasmanolo@example.net,Rafa,Michael,paid_ads,CAMP_8962,2025-07-24 07:07:40,True,2025-08-19 18:06:11
147,jbaum@example.org,Emiliana,Sauvage,email_campaign,CAMP_9709,2025-11-20 01:01:27,False,
148,ptorrents@example.net,Marcial,Lee,referral,CAMP_5856,2025-04-13 08:25:40,True,2025-09-17 02:26:18
149,gabriellelamy@example.org,Daniel,Martinez,referral,CAMP_3753,2025-05-30 16:05:44,True,2025-11-12 12:08:00
150,magdalenabirnbaum@example.com,Christine,Otto,organic,CAMP_3081,2025-02-05 17:36:15,False,
151,jmascaro@example.org,Jessika,Monroe,referral,CAMP_6739,2025-04-30 12:25:32,False,
152,rebollobartolome@example.net,Clémence,Foley,email_campaign,CAMP_5391,2025-04-25 17:33:13,True,2025-09-26 11:49:46
153,watkinsronald@example.net,Flor,Calvo,referral,CAMP_2510,2025-10-13 06:59:21,True,2025-11-05 14:23:53
154,maximino70@example.org,Helfried,Kade,email_campaign,CAMP_1173,2025-04-20 23:55:37,False,
155,holstenali@example.net,Corinne,Flores,referral,CAMP_3346,2025-05-26 03:17:32,False,
156,friedrich10@example.com,Odette,Tlustek,organic,CAMP_2296,2025-08-11 03:27:32,True,2025-10-25 06:26:31
157,andrea49@example.org,Enno,Avilés,paid_ads,CAMP_4546,2025-07-14 11:10:34,False,
158,charles07@example.org,Wilma,Álvaro,referral,CAMP_2605,2025-08-06 00:19:10,False,
159,cgraf@example.net,Annemie,Stevenson,organic,CAMP_6798,2025-07-29 07:51:21,False,
160,qcanton@example.com,Mary,Hunter,referral,CAMP_4782,2025-11-02 14:42:24,False,
161,cheryl82@example.org,Genoveva,Feijoo,paid_ads,CAMP_7466,2025-07-24 01:13:40,False,
162,kjacobs@example.org,Fausto,Stiffel,email_campaign,CAMP_1258,2025-10-27 07:30:15,False,
163,zobeleitel@example.com,Svenja,Agustín,email_campaign,CAMP_1662,2025-01-15 06:46:51,True,2025-07-17 04:52:22
164,carla13@example.org,Adam,Kabus,organic,CAMP_6558,2024-11-30 13:43:29,False,
165,jasmin07@example.net,Daniel,Jones,email_campaign,CAMP_3818,2025-06-11 03:36:02,False,
166,abigailenglish@example.net,Caren,Patterson,organic,CAMP_6467,2025-01-11 23:07:59,True,2025-08-25 08:33:05
167,wisesteven@example.org,Constance,Washington,referral,CAMP_7025,2025-02-10 10:51:43,True,2025-08-23 12:30:04
168,alphonserossi@example.net,Denise,Munoz,paid_ads,CAMP_8692,2025-10-30 03:28:57,False,
169,harrismichael@example.org,Wolf-Rüdiger,Madrid,paid_ads,CAMP_9791,2025-11-24 13:58:30,True,2025-11-27 08:50:59
170,alain13@example.com,Denise,Bolzmann,organic,CAMP_8816,2025-01-15 13:53:52,True,2025-04-12 07:22:25
171,leandro73@example.org,Hannah,Werner,paid_ads,CAMP_5581,2025-02-19 19:03:55,True,2025-08-05 19:18:27
172,balcaraz@example.com,Michael,Hartung,referral,CAMP_8045,2025-06-20 17:20:33,False,
173,laure05@example.org,Nath,Albert,paid_ads,CAMP_3627,2025-10-21 14:49:24,False,
174,lutzrenner@example.com,Raúl,Ballesteros,paid_ads,CAMP_5979,2025-04-06 13:11:01,False,
175,daniel32@example.net,Miguel,Jones,email_campaign,CAMP_5455,2025-08-22 05:48:43,False,
176,ladeckanna-maria@example.com,Dawn,Schinke,referral,CAMP_8050,2025-04-05 18:36:02,True,2025-10-29 14:50:32
177,jillwoods@example.net,Donata,Torrent,paid_ads,CAMP_9203,2025-08-21 00:39:58,False,
178,orianaviana@example.org,Bernard,Gumprich,organic,CAMP_9714,2024-12-26 16:27:23,False,
179,cecilia01@example.org,Christy,Peral,paid_ads,CAMP_2367,2025-03-03 14:19:31,False,
180,arcofilomena@example.org,Nath,Wende,organic,CAMP_6137,2025-06-04 18:38:47,True,2025-08-24 12:07:48
181,flaviocamara@example.com,Gunhild,Torre,paid_ads,CAMP_2811,2025-07-20 21:16:17,True,2025-07-31 22:17:16
182,xcarbajo@example.org,Nicole,Lopes,email_campaign,CAMP_9920,2025-06-12 21:47:42,False,
183,mherve@example.net,Joseph,Kaiser,email_campaign,CAMP_7469,2025-08-04 07:31:51,True,2025-09-19 16:43:58
184,hilario65@example.net,Margot,Koch II,email_campaign,CAMP_9978,2025-09-25 16:54:39,True,2025-11-26 06:55:04
185,gerardcordier@example.net,Gerda,Calleja,referral,CAMP_3480,2025-07-08 09:19:37,True,2025-10-10 10:31:47
186,michelledenis@example.net,Paul,Butler,referral,CAMP_4477,2025-10-07 02:41:56,False,
187,pauldavid@example.com,Ximena,Lynch,email_campaign,CAMP_3338,2025-01-27 15:55:43,False,
188,anouk59@example.com,Leif,Olivé,paid_ads,CAMP_2542,2025-04-23 11:16:46,True,2025-11-25 17:11:48
189,chantaltanguy@example.net,Melania,Munoz,paid_ads,CAMP_3520,2025-02-28 23:43:16,False,
190,karawilson@example.com,Debra,Hierro,email_campaign,CAMP_3354,2025-04-20 23:46:45,False,
191,augustin93@example.net,Jan,Rodriguez,email_campaign,CAMP_8031,2025-04-05 08:03:01,False,
192,cayetanaledesma@example.com,Aimé,Klein,organic,CAMP_9816,2024-12-02 10:56:05,False,
193,zmunoz@example.com,Pánfilo,Ward,referral,CAMP_6500,2025-05-23 22:35:46,False,
194,jean24@example.com,Alexis,Hall,referral,CAMP_1808,2025-04-25 19:51:41,False,
195,jeronimo94@example.com,Jérôme,Duarte,referral,CAMP_3020,2024-12-24 16:23:37,False,
196,francoismenard@example.org,Dave,Vizcaíno,email_campaign,CAMP_8313,2025-10-02 11:39:21,False,
197,klothilde82@example.net,Alyssa,Smith,organic,CAMP_9022,2025-09-02 18:33:05,False,
198,martha64@example.org,Remigio,Raya,email_campaign,CAMP_7736,2025-05-12 09:17:37,True,2025-09-13 04:05:19
199,valentin90@example.com,Tristan,Miller,organic,CAMP_5705,2025-11-10 20:17:26,False,
200,kanderson@example.net,Santiago,Sierra,paid_ads,CAMP_5524,2024-12-27 03:45:10,True,2025-04-01 00:47:18
201,wendelinkohl@example.org,Florencio,Loos,paid_ads,CAMP_8516,2025-09-01 15:21:21,True,2025-09-21 17:26:33
202,jackcarter@example.org,Marc,Leblanc,organic,CAMP_8400,2025-01-06 10:27:49,True,2025-09-01 17:01:22
203,nperret@example.org,Ruperta,Thomas,referral,CAMP_8930,2025-07-29 06:54:42,False,
204,gregoirechevalier@example.net,Rico,Robertson,organic,CAMP_7038,2025-07-27 00:24:22,False,
205,murphymike@example.net,Balduino,Carrión,email_campaign,CAMP_4819,2025-11-09 11:26:24,True,2025-11-10 18:32:30
206,dauger@example.org,Hans-Ludwig,Manzanares,paid_ads,CAMP_9703,2025-11-04 20:52:28,False,
207,clercceline@example.com,Jessica,Carrasco,email_campaign,CAMP_8540,2025-09-13 17:25:52,False,
208,vickiewilliams@example.org,Ambrosio,Nohlmans,email_campaign,CAMP_6185,2025-02-06 21:53:20,True,2025-06-10 10:42:12
209,yguilbert@example.net,Armida,Schäfer,organic,CAMP_2741,2024-12-17 09:10:11,True,2025-05-23 16:28:39
210,kathy90@example.com,Kristin,Trubin,organic,CAMP_6295,2025-06-19 04:13:06,False,
211,pcampbell@example.org,Fermín,Guardiola,paid_ads,CAMP_4598,2025-11-27 15:53:56,False,
212,mneuschaefer@example.org,Adam,Liebelt,email_campaign,CAMP_3189,2024-12-25 20:15:34,False,
213,georgescamille@example.com,Debbie,Arteaga,organic,CAMP_3354,2024-12-29 17:56:09,False,
214,rieraserafina@example.org,Till,Goncalves,organic,CAMP_6056,2025-03-16 13:31:37,False,
215,claashaering@example.org,Eric,Joseph,organic,CAMP_6896,2025-06-13 09:21:37,False,
216,traorecatherine@example.com,Klothilde,Escolano,paid_ads,CAMP_7993,2024-12-02 09:11:00,True,2025-01-31 15:31:16
217,wgonzalez@example.net,David,Kranz,email_campaign,CAMP_6086,2025-02-01 05:55:23,False,
218,terronamerica@example.org,Luce,Salamanca,paid_ads,CAMP_9726,2025-09-19 01:29:56,False,
219,ttrommler@example.com,Minna,Carey,organic,CAMP_4465,2025-02-12 07:51:04,True,2025-05-03 13:21:30
220,eva-maria67@example.org,Antoinette,Castillo,organic,CAMP_2573,2024-12-10 08:31:51,False,
221,domingo08@example.org,Lucie,Baños,referral,CAMP_1988,2025-05-01 07:39:03,False,
222,parkteresa@example.net,Susan,Atkins,organic,CAMP_7584,2025-02-18 11:45:18,False,
223,mscholtz@example.com,Marcio,Morel,organic,CAMP_7003,2025-01-11 07:05:55,True,2025-06-09 03:51:10
224,ruben13@example.com,Marianne,Folch,paid_ads,CAMP_6813,2024-12-22 06:48:02,False,
225,wholt@example.org,Christa-Maria,Chrétien,email_campaign,CAMP_7722,2025-07-09 06:52:46,False,
226,bautistaisabel@example.com,Leyre,Berthelot,paid_ads,CAMP_4393,2025-10-16 02:37:29,True,2025-11-01 22:57:01
227,jessicabeltran@example.net,Heinz-Peter,Meister,email_campaign,CAMP_9758,2025-02-06 08:22:19,True,2025-03-19 10:37:31
228,christopherwilms@example.net,María Fernanda,Chrétien,email_campaign,CAMP_7372,2024-12-25 00:06:53,True,2025-06-19 10:12:30
229,jpaul@example.net,Paulette,Geißler,organic,CAMP_5019,2025-04-16 19:46:05,True,2025-11-13 15:27:25
230,tomislav69@example.net,Tristan,Henderson,paid_ads,CAMP_3517,2025-03-06 00:34:00,True,2025-03-29 23:45:11
231,mancebojuan-pablo@example.com,Aimé,Castell,paid_ads,CAMP_8351,2025-07-26 11:58:11,False,
232,klingelhoeferrafael@example.org,Darren,Wise,paid_ads,CAMP_5780,2025-06-24 00:42:50,True,2025-11-08 00:39:01
233,nphilippe@example.com,Adrien,Leon,paid_ads,CAMP_2462,2025-11-27 17:19:28,True,2025-11-27 21:47:03
234,aprilboyer@example.com,Thérèse,Scholz,email_campaign,CAMP_3526,2025-02-20 16:36:32,True,2025-06-16 04:53:30
235,kevinrogge@example.com,Aristides,Martin,referral,CAMP_2197,2025-03-30 14:55:10,False,
236,curtsegebahn@example.com,Juan Pablo,Hamilton,referral,CAMP_2736,2025-02-12 12:10:23,True,2025-05-06 00:23:20
237,theophile09@example.org,Georgina,Brown,email_campaign,CAMP_4342,2025-08-05 04:54:50,False,
238,casandraabellan@example.org,Juliette,Kraus,referral,CAMP_4962,2024-12-10 15:10:15,True,2025-11-18 18:25:37
239,ngertz@example.org,Jessica,Hernandez,paid_ads,CAMP_9158,2025-10-29 21:40:46,True,2025-11-23 09:48:50
240,odette18@example.org,Guntram,Otto,email_campaign,CAMP_1014,2024-12-26 01:44:54,True,2025-09-30 21:33:13
241,cillybinner@example.org,Michael,Morel,referral,CAMP_6012,2025-08-03 02:10:34,True,2025-09-25 23:21:20
242,dmayol@example.net,Alfred,Grondin,referral,CAMP_8953,2025-01-07 08:03:33,True,2025-08-05 17:17:59
243,haeringfredy@example.com,Fátima,Shepard,email_campaign,CAMP_6010,2025-01-26 04:38:57,False,
244,lucie57@example.org,Margot,Somoza,referral,CAMP_6473,2025-07-10 05:12:19,True,2025-07-10 17:09:09
245,judith09@example.com,Matthew,Dillon,paid_ads,CAMP_2551,2025-08-14 09:53:21,False,
246,marielewarmer@example.com,Karolina,Tessier,email_campaign,CAMP_1258,2025-04-06 12:10:01,False,
247,joergen14@example.com,Andrew,Hernandez,paid_ads,CAMP_7204,2025-05-04 10:15:29,False,
248,odalys77@example.com,Zoraida,Ortuño,referral,CAMP_5000,2025-07-21 21:26:45,True,2025-09-28 07:29:21
249,tschoenland@example.com,Franz-Peter,Martin,paid_ads,CAMP_2185,2025-06-07 22:17:56,True,2025-10-03 21:21:55
